<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiH9,D,20181004,66880,68180,66822,68120,16164,119506
SiH9,D,20181005,68148,68300,67617,67836,5524,121156
SiH9,D,20181008,67860,68328,67800,67926,11687,125552
SiH9,D,20181009,67955,68119,67522,67637,7842,125394
SiH9,D,20181010,67644,67993,67240,67950,5316,125512
SiH9,D,20181011,67901,68225,67340,67515,21519,140972
SiH9,D,20181012,67402,67510,67053,67457,10171,148882
SiH9,D,20181015,67500,67586,66425,66737,6421,148766
SiH9,D,20181016,66798,66850,66361,66361,4018,149274
SiH9,D,20181017,66411,66800,66378,66416,3190,148782
SiH9,D,20181018,66500,66986,66442,66843,1995,148624
SiH9,D,20181019,66865,67050,66451,66688,2318,148960
SiH9,D,20181022,66510,66724,66100,66250,3375,150380
SiH9,D,20181023,66250,66741,66241,66690,3118,149504
SiH9,D,20181024,66753,66891,66051,66605,10674,151798
SiH9,D,20181025,66527,67110,66351,66678,7042,151456
SiH9,D,20181026,66610,67030,66534,66860,5231,150902
SiH9,D,20181029,66910,67018,66515,66632,4628,153534
SiH9,D,20181030,66763,66931,66588,66588,1973,153596
SiH9,D,20181031,66658,66918,66588,66871,2344,153774
SiH9,D,20181101,66788,66952,66610,66753,8139,157450
SiH9,D,20181102,66733,67175,66542,67020,9114,154196
SiH9,D,20181106,67067,67310,66771,67021,6137,156490
SiH9,D,20181107,67019,67261,66850,67163,3551,157304
SiH9,D,20181108,67187,67585,67132,67532,9769,157036
SiH9,D,20181109,67528,68680,67480,68498,20923,161768
SiH9,D,20181112,68575,71105,68217,68701,10185,166310
SiH9,D,20181113,68760,69220,68617,69155,16019,178586
SiH9,D,20181114,69150,69370,68070,68106,21390,179538
SiH9,D,20181115,68145,68376,67356,67488,15293,188996
SiH9,D,20181116,67433,67441,66688,66860,20473,192318
SiH9,D,20181119,66901,67152,66810,66897,12021,198466
SiH9,D,20181120,66871,67167,66501,67057,16555,204586
SiH9,D,20181121,67038,67270,66733,66868,13594,211286
SiH9,D,20181122,66872,66894,66400,66595,14414,220524
SiH9,D,20181123,66510,67304,66509,67189,31900,246046
SiH9,D,20181126,67255,68315,67092,68009,53698,275768
SiH9,D,20181127,68068,68178,67409,67975,39070,283706
SiH9,D,20181128,67942,68462,67694,68334,27681,283734
SiH9,D,20181129,68374,68392,67035,67035,55216,313670
SiH9,D,20181130,67035,67900,66829,67795,34994,323138
SiH9,D,20181203,67809,68080,66920,67441,52102,348516
SiH9,D,20181204,67507,67565,67034,67415,46396,364710
SiH9,D,20181205,67402,67769,67340,67640,95056,415856
SiH9,D,20181206,67590,68049,67300,67787,96798,465388
SiH9,D,20181207,67800,67972,66783,66968,97068,507204
SiH9,D,20181210,66983,67367,66930,67224,72534,520024
SiH9,D,20181211,67300,67475,67000,67230,61290,556024
SiH9,D,20181212,67220,67299,66872,67098,109293,611724
SiH9,D,20181213,67070,67235,66875,67081,138580,686092
SiH9,D,20181214,67072,67547,66941,67470,232765,822348
SiH9,D,20181217,67458,67539,67155,67440,263912,1008406
SiH9,D,20181218,67432,67790,67276,67655,502601,1215384
SiH9,D,20181219,67684,68580,67684,68349,1086051,1803852
SiH9,D,20181220,68321,69019,67750,68977,2304608,2136574
SiH9,D,20181221,68965,69465,68586,69375,2705101,2164882
SiH9,D,20181224,69387,69871,68900,68977,2300700,2166580
SiH9,D,20181225,69009,69750,69006,69552,1393087,2217254
SiH9,D,20181226,69565,70248,69356,69719,1787113,2253596
SiH9,D,20181227,69768,70331,69277,70128,2703370,2176670
SiH9,D,20181228,70198,70500,69887,70350,1733838,2045330
SiH9,D,20181229,70322,70623,70058,70582,656671,2027118
SiH9,D,20190103,70540,70620,69400,69545,1295801,2020456
SiH9,D,20190104,69498,69502,68400,68473,1339043,1896146
SiH9,D,20190108,68460,68512,67512,67691,1652243,1982398
SiH9,D,20190109,67667,67905,67307,67622,1499254,2114056
SiH9,D,20190110,67601,67997,67289,67788,1637636,2363098
SiH9,D,20190111,67780,67782,67390,67600,1448515,2402154
SiH9,D,20190114,67593,67914,67461,67603,1322383,2399212
SiH9,D,20190115,67602,67750,67466,67488,1154071,2384290
SiH9,D,20190116,67500,67637,66979,67082,1595443,2462500
SiH9,D,20190117,67094,67281,66817,67226,1360080,2460400
SiH9,D,20190118,67216,67216,66691,66812,1527510,2339840
SiH9,D,20190121,66794,67030,66650,66928,1001361,2330164
SiH9,D,20190122,66920,67174,66838,67029,1120260,2365870
SiH9,D,20190123,67042,67088,66619,66697,1354654,2357376
SiH9,D,20190124,66680,66717,66230,66274,1478487,2382954
SiH9,D,20190125,66241,66750,66174,66487,1622744,2380868
SiH9,D,20190128,66484,66686,66280,66629,1201402,2488550
SiH9,D,20190129,66663,66900,66466,66491,1544069,2396452
SiH9,D,20190130,66511,66644,66300,66494,1225547,2350574
SiH9,D,20190131,66453,66453,65600,65844,2060476,2417920
SiH9,D,20190201,65850,66172,65722,66056,1614091,2415300
SiH9,D,20190204,66020,66143,65772,66082,1025164,2428012
SiH9,D,20190205,66061,66085,65809,65990,1331717,2264086
SiH9,D,20190206,65971,66330,65941,66230,1382344,2609946
SiH9,D,20190207,66201,66535,66104,66279,1271240,2554664
SiH9,D,20190208,66288,66549,65957,66035,1350373,2471886
SiH9,D,20190211,66056,66213,65865,66183,1313257,2414900
SiH9,D,20190212,66189,66251,65819,66004,1209612,2427012
SiH9,D,20190213,65978,66587,65858,66081,1548560,2485978
SiH9,D,20190214,66085,67468,66068,67410,2963136,2477610
SiH9,D,20190215,67440,67486,66816,66884,1478510,2353090
SiH9,D,20190218,66901,66912,66360,66419,1086489,2469992
SiH9,D,20190219,66435,66643,66281,66293,1048583,2367838
SiH9,D,20190220,66285,66285,65820,65880,1248521,2382816
