<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiM9,D,20171018,62745,62745,62745,62745,31,408
SiM9,D,20171019,63390,63390,63390,63390,1,408
SiM9,D,20171020,,,,,,408
SiM9,D,20171023,,,,,,408
SiM9,D,20171024,62825,62825,62635,62635,6,412
SiM9,D,20171025,63187,63188,63067,63068,17,384
SiM9,D,20171026,,,,,,384
SiM9,D,20171027,64000,64000,63444,63444,2,386
SiM9,D,20171030,,,,,,386
SiM9,D,20171031,,,,,,386
SiM9,D,20171101,,,,,,386
SiM9,D,20171102,,,,,,386
SiM9,D,20171103,63864,64195,63864,64195,5,380
SiM9,D,20171107,64305,64306,64003,64003,3,384
SiM9,D,20171108,64685,64685,63751,63751,10,390
SiM9,D,20171109,,,,,,390
SiM9,D,20171110,,,,,,390
SiM9,D,20171113,,,,,,390
SiM9,D,20171114,65250,65250,65250,65250,1,390
SiM9,D,20171115,,,,,,390
SiM9,D,20171116,,,,,,390
SiM9,D,20171117,65221,65223,65221,65223,5,390
SiM9,D,20171120,,,,,,390
SiM9,D,20171121,,,,,,390
SiM9,D,20171122,64300,64300,64005,64005,2,388
SiM9,D,20171123,,,,,,388
SiM9,D,20171124,,,,,,388
SiM9,D,20171127,63501,63573,63288,63288,4,390
SiM9,D,20171128,63527,63527,63527,63527,1,388
SiM9,D,20171129,,,,,,388
SiM9,D,20171130,63640,63640,63620,63620,9,394
SiM9,D,20171201,63522,63722,63522,63651,4,392
SiM9,D,20171204,64091,64091,64080,64080,4,394
SiM9,D,20171205,64042,64042,63737,63737,7,394
SiM9,D,20171206,,,,,,394
SiM9,D,20171207,,,,,,394
SiM9,D,20171208,,,,,,394
SiM9,D,20171211,,,,,,394
SiM9,D,20171212,63640,63640,63600,63600,19,406
SiM9,D,20171213,63370,63370,63370,63370,1,406
SiM9,D,20171214,63120,63120,63120,63120,2,406
SiM9,D,20171215,63287,63291,63287,63291,2,406
SiM9,D,20171218,63001,63001,63001,63001,1,406
SiM9,D,20171219,62867,62889,62867,62889,6,406
SiM9,D,20171220,63451,63451,63451,63451,1,406
SiM9,D,20171221,62855,63270,62855,63000,7,410
SiM9,D,20171222,62970,62970,62970,62970,1,412
SiM9,D,20171225,62744,62744,62500,62500,2,412
SiM9,D,20171226,62653,62705,62111,62111,15,416
SiM9,D,20171227,62093,62200,62000,62150,10,420
SiM9,D,20171228,62105,62105,62105,62105,1,418
SiM9,D,20171229,,,,,,418
SiM9,D,20180103,,,,,,418
SiM9,D,20180104,,,,,,418
SiM9,D,20180105,61500,61500,61500,61500,1,416
SiM9,D,20180109,61424,61424,61395,61405,13,414
SiM9,D,20180110,61296,61296,61296,61296,6,414
SiM9,D,20180111,61482,61527,60800,60800,23,438
SiM9,D,20180112,60902,60902,60822,60822,2,438
SiM9,D,20180115,60500,60500,60500,60500,1,436
SiM9,D,20180116,60250,60250,60250,60250,1,436
SiM9,D,20180117,60900,60900,60900,60900,1,436
SiM9,D,20180118,,,,,,436
SiM9,D,20180119,60693,60820,60693,60820,2,440
SiM9,D,20180122,,,,,,440
SiM9,D,20180123,,,,,,440
SiM9,D,20180124,60291,60291,60291,60291,1,440
SiM9,D,20180125,60000,60000,59671,59671,6,442
SiM9,D,20180126,,,,,,442
SiM9,D,20180129,60395,60395,60395,60395,1,442
SiM9,D,20180130,,,,,,442
SiM9,D,20180131,,,,,,442
SiM9,D,20180201,,,,,,442
SiM9,D,20180202,,,,,,442
SiM9,D,20180205,,,,,,442
SiM9,D,20180206,,,,,,442
SiM9,D,20180207,,,,,,442
SiM9,D,20180208,61110,61428,61110,61428,20,444
SiM9,D,20180209,,,,,,444
SiM9,D,20180212,,,,,,444
SiM9,D,20180213,61363,61363,61363,61363,1,442
SiM9,D,20180214,,,,,,442
SiM9,D,20180215,59990,59990,59990,59990,1,442
SiM9,D,20180216,,,,,,442
SiM9,D,20180219,,,,,,442
SiM9,D,20180220,,,,,,442
SiM9,D,20180221,,,,,,442
SiM9,D,20180222,59900,59900,59900,59900,1,442
SiM9,D,20180226,59804,59804,59300,59300,2,444
SiM9,D,20180227,59105,59492,59105,59492,2,446
SiM9,D,20180228,59240,59600,59224,59600,4,440
SiM9,D,20180301,,,,,,440
SiM9,D,20180302,60203,60203,60203,60203,1,442
SiM9,D,20180305,,,,,,442
SiM9,D,20180306,,,,,,442
SiM9,D,20180307,,,,,,442
SiM9,D,20180309,,,,,,442
SiM9,D,20180312,,,,,,442
SiM9,D,20180313,,,,,,442
SiM9,D,20180314,,,,,,442
SiM9,D,20180315,60259,60553,60100,60553,16,468
SiM9,D,20180316,60545,60580,60545,60580,2,468
SiM9,D,20180319,60674,60886,60557,60557,7,462
SiM9,D,20180320,60673,60673,60542,60542,2,464
SiM9,D,20180321,60308,60308,60199,60199,5,468
SiM9,D,20180322,60000,60000,59775,59775,2,468
SiM9,D,20180323,59790,60090,59670,59670,10,470
SiM9,D,20180326,59600,60087,59600,60087,3,468
SiM9,D,20180327,,,,,,468
SiM9,D,20180328,,,,,,468
SiM9,D,20180329,60256,60899,59010,60350,23,480
SiM9,D,20180330,60001,60001,60001,60001,1,478
SiM9,D,20180402,60374,60374,60374,60374,2,482
SiM9,D,20180403,,,,,,482
SiM9,D,20180404,60286,60534,60275,60534,6,486
SiM9,D,20180405,60401,60401,60401,60401,2,486
SiM9,D,20180406,60452,60612,60452,60612,14,496
SiM9,D,20180409,60566,62999,60566,62999,52,556
SiM9,D,20180410,62809,66385,62809,65500,103,668
SiM9,D,20180411,65305,67570,65305,67350,44,718
SiM9,D,20180412,65350,72302,63398,64700,138,720
SiM9,D,20180413,64160,64160,63896,63896,3,718
SiM9,D,20180416,64791,64836,64791,64836,2,714
SiM9,D,20180417,64701,65112,63917,64300,19,712
SiM9,D,20180418,64401,64401,64401,64401,1,712
SiM9,D,20180419,63656,66673,63512,63850,35,726
SiM9,D,20180420,63511,63511,63511,63511,1,726
SiM9,D,20180423,64599,64600,64367,64457,14,744
SiM9,D,20180424,,,,,,744
SiM9,D,20180425,64472,64999,64472,64990,7,748
SiM9,D,20180426,64990,65020,64850,65020,8,748
SiM9,D,20180427,65117,65129,64404,64517,16,748
SiM9,D,20180428,,,,,,748
SiM9,D,20180430,,,,,,748
SiM9,D,20180502,66520,66520,65999,66449,31,808
SiM9,D,20180503,65844,65844,65844,65844,4,800
SiM9,D,20180504,65756,65756,65656,65656,26,762
SiM9,D,20180507,65656,65765,65198,65198,31,734
SiM9,D,20180508,65600,65960,65600,65960,16,746
SiM9,D,20180510,65807,65807,64416,64556,23,752
SiM9,D,20180511,64532,64532,64369,64369,12,730
SiM9,D,20180514,,,,,,730
SiM9,D,20180515,64698,65633,64698,65633,3,730
SiM9,D,20180516,,,,,,730
SiM9,D,20180517,64831,64831,64555,64555,9,714
SiM9,D,20180518,65200,65200,65200,65200,6,714
SiM9,D,20180521,64801,64801,64555,64555,14,706
SiM9,D,20180522,64234,64234,63701,63701,22,680
SiM9,D,20180523,,,,,,680
SiM9,D,20180524,64199,64199,64199,64199,1,678
SiM9,D,20180525,64691,64720,64685,64685,10,676
SiM9,D,20180528,64999,64999,64999,64999,1,676
SiM9,D,20180529,64999,65469,63617,65469,15,694
SiM9,D,20180530,,,,,,694
SiM9,D,20180531,64133,64500,64101,64500,11,714
SiM9,D,20180601,,,,,,714
SiM9,D,20180604,,,,,,714
SiM9,D,20180605,64904,65516,64904,65516,20,734
SiM9,D,20180606,64370,64370,63777,63777,40,748
SiM9,D,20180607,63907,64650,63907,64648,32,742
SiM9,D,20180608,,,,,,742
SiM9,D,20180609,,,,,,742
SiM9,D,20180611,65000,65000,65000,65000,1,742
SiM9,D,20180613,65000,65857,65000,65050,12,738
SiM9,D,20180614,64307,64983,64307,64983,6,740
SiM9,D,20180615,65086,65355,65086,65355,11,746
SiM9,D,20180618,65666,66311,65666,66311,3,746
SiM9,D,20180619,66700,66727,65750,66727,21,748
SiM9,D,20180620,66200,66200,65650,65650,3,746
SiM9,D,20180621,65650,66594,65650,65980,9,750
SiM9,D,20180622,66020,66020,64444,65400,849,2370
SiM9,D,20180625,65230,65340,64890,64900,90,2214
SiM9,D,20180626,,,,,,2214
SiM9,D,20180627,65500,65500,65500,65500,1,2214
SiM9,D,20180628,,,,,,2214
SiM9,D,20180629,65000,65000,64800,64800,22,2176
SiM9,D,20180702,64860,65292,64860,65240,22,2140
SiM9,D,20180703,65638,65638,65370,65370,2,2140
SiM9,D,20180704,65440,65440,65440,65440,4,2140
SiM9,D,20180705,,,,,,2140
SiM9,D,20180706,65100,65100,65100,65100,1,2138
SiM9,D,20180709,64880,64880,64760,64760,5,2138
SiM9,D,20180710,64490,64540,64200,64200,27,2100
SiM9,D,20180711,63900,64000,63800,64000,11,2100
SiM9,D,20180712,64251,64251,64105,64105,6,2102
SiM9,D,20180713,64260,64702,64260,64702,4,2094
SiM9,D,20180716,64175,64340,64175,64340,28,2094
SiM9,D,20180717,,,,,,2094
SiM9,D,20180718,64600,65107,64600,65107,13,2098
SiM9,D,20180719,65450,65488,65450,65466,33,2158
SiM9,D,20180720,65570,65570,65288,65288,6,2148
SiM9,D,20180723,65288,65288,65000,65000,16,2128
SiM9,D,20180724,65000,65000,64800,64800,8,2124
SiM9,D,20180725,65188,65188,64888,64888,25,2134
SiM9,D,20180726,,,,,,2134
SiM9,D,20180727,64760,64800,64760,64800,2,2134
SiM9,D,20180730,64600,64600,64300,64300,6,2132
