<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiU9,D,20180327,,,,,,170
SiU9,D,20180328,61549,61549,61549,61549,10,190
SiU9,D,20180329,,,,,,190
SiU9,D,20180330,,,,,,190
SiU9,D,20180402,61554,63955,59912,59912,20,192
SiU9,D,20180403,,,,,,192
SiU9,D,20180404,,,,,,192
SiU9,D,20180405,,,,,,192
SiU9,D,20180406,,,,,,192
SiU9,D,20180409,61420,63000,61420,63000,4,192
SiU9,D,20180410,64000,65592,64000,65592,2,194
SiU9,D,20180411,68500,68709,67670,67670,5,192
SiU9,D,20180412,67100,67100,67100,67100,1,194
SiU9,D,20180413,,,,,,194
SiU9,D,20180416,,,,,,194
SiU9,D,20180417,65480,65480,64956,64956,2,196
SiU9,D,20180418,,,,,,196
SiU9,D,20180419,64690,64690,64690,64690,1,196
SiU9,D,20180420,64800,64800,64800,64800,2,192
SiU9,D,20180423,64800,65222,64800,65222,6,190
SiU9,D,20180424,65000,65000,64993,65000,5,182
SiU9,D,20180425,,,,,,182
SiU9,D,20180426,66779,66779,66333,66333,2,182
SiU9,D,20180427,,,,,,182
SiU9,D,20180428,,,,,,182
SiU9,D,20180430,,,,,,182
SiU9,D,20180502,65755,67490,65755,67000,4,182
SiU9,D,20180503,,,,,,182
SiU9,D,20180504,66075,66075,66075,66075,1,182
SiU9,D,20180507,,,,,,182
SiU9,D,20180508,,,,,,182
SiU9,D,20180510,,,,,,182
SiU9,D,20180511,65157,65157,65157,65157,1,184
SiU9,D,20180514,65200,65200,64991,64991,3,186
SiU9,D,20180515,65500,65500,65500,65500,2,184
SiU9,D,20180516,,,,,,184
SiU9,D,20180517,65100,65100,65100,65100,1,186
SiU9,D,20180518,65400,65400,65400,65400,1,184
SiU9,D,20180521,65100,65100,65100,65100,2,186
SiU9,D,20180522,64545,64847,64499,64847,3,188
SiU9,D,20180523,,,,,,188
SiU9,D,20180524,65029,65029,65029,65029,1,190
SiU9,D,20180525,,,,,,190
SiU9,D,20180528,,,,,,190
SiU9,D,20180529,,,,,,190
SiU9,D,20180530,,,,,,190
SiU9,D,20180531,,,,,,190
SiU9,D,20180601,,,,,,190
SiU9,D,20180604,65000,65000,65000,65000,1,190
SiU9,D,20180605,,,,,,190
SiU9,D,20180606,,,,,,190
SiU9,D,20180607,,,,,,190
