close_siu9,close_sih9,close_sim9,close_siz9,return_siu9,return_sih9,return_sim9,return_siz9,alpha_siu9,alpha_sih9,alpha_sim9,alpha_siz9
69640.0,64664.0,64105.0,69378.0,0.022613803230543406,0.0025426356589146604,0.0016406250000000622,0.003500347141865312,-0.3731969574423996,-0.04196126950065004,-0.027075333240584105,-0.057766439816366234
69280.0,63875.0,64702.0,69489.0,-0.005169442848937389,-0.012201534083879695,0.009312846111847684,0.001599930813802608,0.1487953978907003,0.3512046021092997,-0.4266946064827002,-0.07330539351729982
69600.0,63390.0,64340.0,69249.0,0.004618937644341736,-0.007592954990215284,-0.0055948811474143545,-0.0034537840521521312,-0.5,0.22813148310155174,0.16809905176329237,0.10376946513515589
69400.0,63550.0,65107.0,69170.0,-0.002873563218390829,0.002524057422306436,0.011921044451352225,-0.0011408106976273924,0.3579092628771686,-0.08736724200295105,-0.41263275799704896,0.14209073712283138
69140.0,64050.0,65466.0,69164.0,-0.0037463976945244504,0.007867820613689958,0.005514000030718558,-8.67428075755905e-05,0.4886851515711377,-0.2939742215487495,-0.2060257784512505,0.01131484842886234
69000.0,63780.0,65288.0,69050.0,-0.0020248770610356015,-0.004215456674473095,-0.0027189686249350364,-0.0016482563183158883,0.0954450087129934,0.19870060596101377,0.12816184700346975,0.07769253832252308
68240.0,64370.0,65000.0,68930.0,-0.011014492753623206,0.009250548761367217,-0.0044112241146918585,-0.0017378711078928077,0.3208680134040584,-0.5,0.12850530206174512,0.050626684534196484
68240.0,65000.0,64800.0,68175.0,0.0,0.009787167935373597,-0.003076923076923088,-0.01095314086754684,-0.0,-0.5,0.10965463482922629,0.39034536517077373
68340.0,64000.0,64888.0,68538.0,0.0014654161781946229,-0.01538461538461533,0.0013580246913580396,0.005324532453245379,-0.08992519490057646,0.5,-0.08333512135823301,-0.32673968374119056
68220.0,65210.0,64800.0,68359.0,-0.0017559262510974394,0.018906249999999902,-0.0013561829614103793,-0.002611689865476108,0.15338818040027385,-0.5,0.11846877772376864,0.22814304187595752
67940.0,66200.0,64300.0,68670.0,-0.004104368220463228,0.01518172059500067,-0.007716049382716084,0.0045495106716013645,0.17361350327247682,-0.3847129555644591,0.3263864967275232,-0.11528704443554087
68200.0,65130.0,64470.0,68438.0,0.003826906093612026,-0.01616314199395774,0.002643856920684362,-0.0033784767729722054,-0.2957074834263694,0.41355688560741033,-0.20429251657363065,0.08644311439258968
68500.0,64960.0,65488.0,68538.0,0.004398826979472137,-0.0026101642868110453,0.015790290057390965,0.001461176539349518,-0.10158816008631794,0.5,-0.3646668808856224,-0.0337449590280597
68200.0,65670.0,65338.0,68213.0,-0.004379562043795637,0.010929802955665036,-0.002290495968727102,-0.004741895007149277,0.19188486126108795,-0.5,0.10035512610237383,0.2077600126365382
68280.0,64190.0,65538.0,68427.0,0.001173020527859281,-0.022536927059540135,0.0030610058465212475,0.0031372319059417286,-0.07956718400375999,0.5,-0.2076311621512892,-0.2128016538449508
68281.0,63980.0,65388.0,69900.0,1.4645577035787838e-05,-0.0032715376226826187,-0.002288748512313421,0.02152659038099003,-0.0003399428209301797,0.29418788379358723,0.20581211620641274,-0.4996600571790698
68380.0,64800.0,68300.0,68978.0,0.001449890892049055,0.012816505157861924,0.044534165290267325,-0.01319027181688126,-0.012328886485122273,-0.10898284698095588,-0.37868826653392185,0.5
