<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiZ9,D,20190425,66491,67000,66449,66763,3037,98644
SiZ9,D,20190426,66779,66936,66680,66809,33,98692
SiZ9,D,20190429,66911,66911,66512,66532,99,98842
SiZ9,D,20190430,66536,66710,66381,66591,107,98848
SiZ9,D,20190502,66612,67590,66580,67503,354,98896
SiZ9,D,20190503,67486,67652,67062,67175,208,99112
SiZ9,D,20190506,67116,67428,67041,67228,190,99066
SiZ9,D,20190507,67214,67250,67000,67250,205,99276
SiZ9,D,20190508,67329,67428,66910,66910,138,99218
SiZ9,D,20190510,66943,67300,66943,67262,155,99290
SiZ9,D,20190513,67172,67445,67019,67319,442,99516
SiZ9,D,20190514,67403,67416,66836,66954,151,99658
SiZ9,D,20190515,66880,66880,66403,66420,1860,103172
SiZ9,D,20190516,66420,66631,66332,66332,231,103454
SiZ9,D,20190517,66450,66650,66450,66610,204,103286
SiZ9,D,20190520,66605,66605,66300,66306,49,103340
SiZ9,D,20190521,66400,66470,66200,66275,332,103690
SiZ9,D,20190522,66300,66340,66013,66182,591,104642
SiZ9,D,20190523,66228,66720,66220,66535,214,104728
SiZ9,D,20190524,66613,66684,66250,66305,628,105716
SiZ9,D,20190527,66305,66305,66189,66220,34,105754
SiZ9,D,20190528,66171,66465,66171,66465,79,105826
SiZ9,D,20190529,66475,67137,66475,66890,470,105548
SiZ9,D,20190530,66900,66931,66685,66931,305,105602
SiZ9,D,20190531,66914,67354,66885,66973,825,106364
SiZ9,D,20190603,67086,67400,66981,67096,853,107572
SiZ9,D,20190604,67182,67182,66893,67025,1214,109682
SiZ9,D,20190605,67078,67078,66782,67071,125,109628
SiZ9,D,20190606,67090,67143,66800,66867,152,109662
SiZ9,D,20190607,66940,66940,66500,66628,801,110848
SiZ9,D,20190610,66600,66628,66358,66479,434,111372
SiZ9,D,20190611,66460,66520,66130,66234,484,111942
SiZ9,D,20190613,66249,66400,66200,66216,226,112128
SiZ9,D,20190614,66178,66267,65874,65991,1708,112566
SiZ9,D,20190617,66000,66039,65749,65841,1568,115180
SiZ9,D,20190618,65805,66000,65514,65665,10638,129296
SiZ9,D,20190619,65600,65714,65413,65413,1952,131506
SiZ9,D,20190620,65500,65520,64522,64564,5200,133246
SiZ9,D,20190621,64568,65319,64461,64884,5569,134496
SiZ9,D,20190624,64880,64900,64321,64325,1958,134974
SiZ9,D,20190625,64303,64436,64039,64360,8364,141368
SiZ9,D,20190626,64376,64750,64290,64556,24411,176530
SiZ9,D,20190627,64529,64690,64430,64611,8665,184354
SiZ9,D,20190628,64601,64630,64327,64570,10642,194658
SiZ9,D,20190701,64560,64800,64050,64380,27956,222452
SiZ9,D,20190702,64430,64850,64050,64780,3443,224542
SiZ9,D,20190703,64719,65106,64657,64914,4452,223876
SiZ9,D,20190704,64900,64968,64725,64892,1079,224008
SiZ9,D,20190705,64845,65240,64839,65175,3653,224262
SiZ9,D,20190708,65220,65364,64900,64920,9450,235232
SiZ9,D,20190709,64890,65274,64857,65107,2135,235428
SiZ9,D,20190710,65079,65307,64502,64508,8854,236340
SiZ9,D,20190711,64537,64584,64183,64211,4743,237830
SiZ9,D,20190712,64179,64500,64080,64356,2049,237604
SiZ9,D,20190715,64339,64350,63862,63919,5621,236932
SiZ9,D,20190716,63940,64190,63939,64124,2320,238598
SiZ9,D,20190717,64175,64388,63980,64083,5624,241364
SiZ9,D,20190718,64079,64430,63999,64407,7433,251810
SiZ9,D,20190719,64370,64370,64050,64264,5660,257918
SiZ9,D,20190722,64262,64357,64170,64300,2046,259558
SiZ9,D,20190723,64354,64646,64329,64495,4177,261944
SiZ9,D,20190724,64515,64540,64222,64345,4761,266984
SiZ9,D,20190725,64362,64527,64047,64378,10029,277712
SiZ9,D,20190726,64420,64683,64250,64621,8878,285146
SiZ9,D,20190729,64638,64815,64547,64714,5328,285990
SiZ9,D,20190730,64666,64914,64410,64830,7299,294364
SiZ9,D,20190731,64856,64904,64520,64691,9096,294266
SiZ9,D,20190801,64608,65370,64295,65031,15178,292084
SiZ9,D,20190802,65080,66656,65001,66425,58258,294848
SiZ9,D,20190805,66307,66768,66050,66324,8233,293376
SiZ9,D,20190806,66323,66818,66190,66500,9470,291562
SiZ9,D,20190807,66430,66918,66150,66778,8074,290772
SiZ9,D,20190808,66816,66840,66235,66325,4954,292752
SiZ9,D,20190809,66325,66705,66233,66664,11394,286216
SiZ9,D,20190812,66700,66855,66408,66710,12912,291498
SiZ9,D,20190813,66689,67090,66050,66219,18840,299444
SiZ9,D,20190814,66198,67225,65935,67060,18448,302752
SiZ9,D,20190815,67070,67732,66812,67354,21181,297134
SiZ9,D,20190816,67280,67614,66800,67577,14379,305778
SiZ9,D,20190819,67600,68139,67340,67950,15098,308382
SiZ9,D,20190820,67975,68198,67674,67691,26610,316878
SiZ9,D,20190821,67696,67696,66890,66960,19200,334632
SiZ9,D,20190822,66879,67033,66531,66775,16031,336676
SiZ9,D,20190823,66800,67188,66573,67066,35745,354960
SiZ9,D,20190826,67116,67275,66888,67075,16938,362166
SiZ9,D,20190827,67100,67610,67059,67548,15906,366134
SiZ9,D,20190828,67624,68013,67339,67618,31778,374048
SiZ9,D,20190829,67624,67945,67522,67557,33841,394948
SiZ9,D,20190830,67545,67808,67280,67753,33445,412738
SiZ9,D,20190902,67765,67780,67515,67697,33905,430988
SiZ9,D,20190903,67729,68046,67726,67985,34804,452400
SiZ9,D,20190904,68034,68081,67037,67043,66695,473182
SiZ9,D,20190905,67075,67174,66802,66987,58359,489730
SiZ9,D,20190906,67015,67188,66451,66604,153166,522122
SiZ9,D,20190909,66623,66706,66220,66336,58843,552114
SiZ9,D,20190910,66378,66427,66179,66226,50691,572684
SiZ9,D,20190911,66237,66394,66102,66394,90933,594240
SiZ9,D,20190912,66341,66504,65586,65700,203555,681570
SiZ9,D,20190913,65676,65714,64955,65030,152167,747650
SiZ9,D,20190916,65053,65171,64446,64768,275898,829112
SiZ9,D,20190917,64772,65248,64618,65131,357106,945874
SiZ9,D,20190918,65127,65303,64876,64983,667566,1213494
SiZ9,D,20190919,64985,65198,64551,64651,1640513,1656612
SiZ9,D,20190920,64641,64812,64424,64734,1196413,1735396
SiZ9,D,20190923,64720,64839,64464,64580,1216886,1793992
SiZ9,D,20190924,64600,64636,64311,64607,1315624,1973042
SiZ9,D,20190925,64595,65209,64558,64950,1880114,2179456
SiZ9,D,20190926,64940,65090,64802,64951,1365089,1981146
SiZ9,D,20190927,64950,65260,64837,65184,1421657,1985708
